NF10A_uniq.fasta	NF10B_uniq.fasta	NF18A_uniq.fasta	NF18B_uniq.fasta	NF26A_uniq.fasta	NF26B_uniq.fasta	NF34A_uniq.fasta	NF34B_uniq.fasta	NR10A_uniq.fasta	NR10B_uniq.fasta	NR18A_uniq.fasta	NR18B_uniq.fasta	NR26A_uniq.fasta	NR26B_uniq.fasta	NR34A_uniq.fasta	NR34B_uniq.fasta	PF10A_uniq.fasta	PF10B_uniq.fasta	PF18A_uniq.fasta	PF18B_uniq.fasta	PF26A_uniq.fasta	PF26B_uniq.fasta	PF34A_uniq.fasta	PF34B_uniq.fasta	PF42A_uniq.fasta	PF42B_uniq.fasta	PF50A_uniq.fasta	PF50B_uniq.fasta
NR18A_uniq.fasta	0.979465847797344	0.561549624519391	0.949492888926042	0.622021741080316	0.848690704055815	0.71140752463207	0.80674800308122	0.708142319905351	0.876783908974237	0.677839882665435	1	0.546744134896281	0.747340416092878	0.521677090900539	0.554297485647866	0.605294966134878	0.554751568629783	0.570428381791826	0.343732614375057	0.575811765344084	0.511013058180616	0.552223997512163	0.516001200268425	0.504045312072153	0.485170339658887	0.177392127053249	0.492473093438954	0.364822451226218
NR18B_uniq.fasta	0.506536047570364	0.982707107519802	0.375059058790114	0.978181907276239	0.245190974231877	0.941663291318382	0.133865692282573	0.945441588047157	0.821524405249702	0.955534137379193	0.546744134896281	1	0.9498836618789	0.983042814539118	0.923119157964337	0.906067900244215	0.996998263665582	0.996761429787423	0.632270053783068	0.98834639457115	0.987327212243063	0.941153125156078	0.964653580766093	0.910333126194187	0.775695606038699	0.25678848675224	0.928846270381395	0.629426246523512
NR26A_uniq.fasta	0.719219929970743	0.953996730554893	0.582963793469743	0.965516167094864	0.4311395173085	0.963055977222894	0.331040390589618	0.962478903771508	0.94462372749205	0.974691597060206	0.747340416092878	0.9498836618789	1	0.945771314299415	0.898606741754396	0.880270809058141	0.953651611316197	0.959614113402494	0.541549905521118	0.960018891071245	0.942866007240073	0.892197905426139	0.895703143433075	0.839347260762042	0.782978698651093	0.276084046540139	0.899526307080901	0.634396294755048
NR26B_uniq.fasta	0.494831298098741	0.996359085329852	0.356280471217729	0.987569418355117	0.219413373231783	0.950885076381482	0.107251664057155	0.95117295889361	0.820507376053867	0.970809092599086	0.521677090900539	0.983042814539118	0.945771314299415	1	0.884377071399533	0.83359474265795	0.980899831201584	0.985181009331653	0.498164773701473	0.99461184748371	0.997546546844101	0.878381039314315	0.9093739993316	0.832496410387877	0.762605643002233	0.213827411486981	0.930557659886154	0.613570807983269
NR34A_uniq.fasta	0.50581995004752	0.880934099974216	0.409894732389474	0.886013516171757	0.28090935354056	0.865803006477418	0.19130976023309	0.873946046147566	0.767744051037765	0.866348566674217	0.554297485647866	0.923119157964337	0.898606741754396	0.884377071399533	1	0.966126966045371	0.911719558515056	0.910919811100367	0.67325004138388	0.895145471941749	0.892079448858134	0.93502429170305	0.926903536579819	0.900168240042371	0.927112487222545	0.599238057923252	0.961220760243477	0.853281437702532
NR34B_uniq.fasta	0.544006909002695	0.834114736920966	0.458836467313905	0.847398361207862	0.34302033296674	0.837438703400457	0.258184084984095	0.84354309698162	0.766193806908752	0.834604897010481	0.605294966134878	0.906067900244215	0.880270809058141	0.83359474265795	0.966126966045371	1	0.900273898418372	0.894165741643473	0.821421995567955	0.859155219080881	0.844134769373707	0.971286415268526	0.958033704868326	0.962632979588651	0.84786084856001	0.511669992030463	0.880220193434174	0.747593062817534
PF10A_uniq.fasta	0.520638346198394	0.979814626125837	0.370360685197333	0.973102230562475	0.231240609642024	0.933123196756368	0.119282464542507	0.936485683952493	0.837436177452027	0.956627528330423	0.554751568629783	0.996998263665582	0.953651611316197	0.980899831201584	0.911719558515056	0.900273898418372	1	0.998256765581578	0.640455390048173	0.986452288507173	0.986072021586283	0.943319806630398	0.965829222787319	0.913091652699647	0.762097704357441	0.230727040966448	0.915753763263224	0.606665465783736
PF10B_uniq.fasta	0.536966948808568	0.985026059370544	0.39138160285026	0.980079108124245	0.252636756457498	0.943989985327839	0.140494556078184	0.946927911469174	0.84733328934898	0.96557421036979	0.570428381791826	0.996761429787423	0.959614113402494	0.985181009331653	0.910919811100367	0.894165741643473	0.998256765581578	1	0.616935815495298	0.990357093768617	0.988644469208049	0.935952427400591	0.95769946828364	0.901608549895923	0.766186139874035	0.231174442638466	0.919862813897534	0.610615011380687
PF18A_uniq.fasta	0.281272551859483	0.491427299360632	0.199072967340292	0.495658498360868	0.118480351741249	0.467019359055584	0.0642417994551227	0.469598111744907	0.443005547455892	0.489780307824669	0.343732614375057	0.632270053783068	0.541549905521118	0.498164773701473	0.67325004138388	0.821421995567955	0.640455390048173	0.616935815495298	1	0.537834196281583	0.521141169740204	0.821198298761344	0.808027949717926	0.888615346521103	0.510718106883093	0.30912874856999	0.502023908873209	0.4015932763156
PF18B_uniq.fasta	0.546410884379338	0.996167902558582	0.413286433380829	0.9928861568933	0.273588705489988	0.963205869874299	0.163319277402107	0.963053836985023	0.847683629721114	0.98115631836572	0.575811765344084	0.98834639457115	0.960018891071245	0.99461184748371	0.895145471941749	0.859155219080881	0.986452288507173	0.990357093768617	0.537834196281583	1	0.99400999046941	0.898054585880926	0.92548881364803	0.857233758514261	0.772890412884565	0.222767815411664	0.926785440212621	0.615886927039615
